1,55
2,51
3,37
4,48
5,47
6,13
7,13
8,41
9,51
10,50
11,6
12,66
13,41
14,5
15,37
16,5
17,1
18,42
19,52
20,33
21,55
22,3
23,54
24,9
25,49
26,52
27,47
28,53
29,53
30,38
31,49
32,51
33,40
34,24
35,28
36,53
37,52
38,46
39,57
40,12
41,50
42,51
43,46
44,48
45,45
46,33
47,7
48,45
49,69
50,53
51,50
52,22
53,34
54,27
55,1
56,49
57,34
58,22
59,7
60,45
61,42
62,12
63,50
64,42
65,39
66,58
67,35
68,48
69,39
70,39
71,52
72,44
73,52
74,53
75,11
76,14
77,57
78,43
79,50
80,40
81,60
82,20
83,38
84,58
85,58
86,54
87,48
88,32
89,45
90,45
91,58
92,46
93,64
94,31
95,44
96,56
97,39
98,50
99,29
100,52
101,12
102,50
103,47
104,46
105,48
106,46
107,4
108,21
109,47
110,35
111,12
112,5
113,48
114,51
115,11
116,54
117,11
118,36
119,46
120,20
121,46
122,54
123,65
124,59
125,40
126,54
127,53
128,51
129,2
130,26
131,45
132,10
133,48
134,47
135,24
136,31
137,50
138,8
139,52
140,52
141,38
142,44
143,34
144,27
145,3
146,59
147,43
148,49
149,35
150,31
151,50
152,57
153,54
154,60
155,56
156,41
157,47
158,52
159,63
160,43
161,49
162,56
163,23
164,55
165,17
166,58
167,40
168,54
169,54
170,58
171,65
172,56
173,53
174,54
175,55
176,3
177,25
178,27
179,44
180,9
181,48
182,54
183,49
184,50
185,51
186,44
187,46
188,7
189,20
190,44
191,47
192,30
193,46
194,52
195,56
196,44
197,48
198,29
199,17
200,45
