1,29
2,160
3,141
4,31
5,146
6,181
7,165
8,148
9,176
10,131
11,146
12,28
13,134
14,39
15,129
16,101
17,110
18,149
19,184
20,152
21,116
22,159
23,158
24,150
25,142
26,168
27,190
28,160
29,140
30,148
31,92
32,150
33,165
34,117
35,135
36,162
37,43
38,112
39,155
40,152
41,172
42,44
43,162
44,1
45,165
46,162
47,95
48,122
49,174
50,159
51,53
52,134
53,111
54,153
55,111
56,27
57,126
58,172
59,184
60,176
61,137
62,19
63,18
64,167
65,162
66,174
67,6
68,160
69,192
70,159
71,130
72,145
73,181
74,148
75,140
76,163
77,184
78,115
79,50
80,154
81,166
82,125
83,164
84,145
85,163
86,164
87,44
88,26
89,158
90,149
91,95
92,160
93,166
94,142
95,139
96,142
97,39
98,140
99,106
100,118
101,145
102,9
103,74
104,127
105,67
106,173
107,13
108,27
109,157
110,170
111,166
112,56
113,34
114,140
115,9
116,184
117,146
118,33
119,117
120,135
121,121
122,97
123,164
124,16
125,154
126,167
127,154
128,182
129,98
130,109
131,105
132,139
133,188
134,146
135,164
136,105
137,142
138,161
139,175
140,114
141,1
142,149
143,110
144,133
145,168
146,57
147,121
148,164
149,144
150,156
151,181
152,159
153,11
154,20
155,142
156,183
157,144
158,162
159,93
160,187
161,104
162,160
163,158
164,128
165,37
166,170
167,121
168,122
169,170
170,96
171,103
172,166
173,72
174,120
175,127
176,159
177,136
178,169
179,169
180,121
181,127
182,152
183,135
184,119
185,18
186,143
187,159
188,156
189,141
190,172
191,131
192,177
193,173
194,171
195,123
196,142
197,131
198,150
199,151
200,72
