1,60
2,106
3,93
4,118
5,22
6,106
7,121
8,104
9,115
10,120
11,105
12,50
13,81
14,5
15,86
16,136
17,101
18,106
19,62
20,87
21,121
22,77
23,153
24,104
25,58
26,124
27,127
28,96
29,97
30,115
31,121
32,86
33,137
34,91
35,114
36,83
37,118
38,102
39,146
40,71
41,130
42,124
43,58
44,41
45,71
46,68
47,88
48,121
49,99
50,32
51,75
52,36
53,119
54,94
55,83
56,96
57,11
58,76
59,111
60,116
61,60
62,99
63,81
64,94
65,83
66,95
67,129
68,88
69,79
70,106
71,66
72,127
73,66
74,123
75,74
76,125
77,108
78,103
79,72
80,129
81,116
82,78
83,111
84,100
85,17
86,49
87,67
88,81
89,60
90,136
91,128
92,76
93,90
94,88
95,108
96,58
97,50
98,46
99,131
100,134
101,113
102,37
103,26
104,49
105,96
106,59
107,91
108,72
109,98
110,12
111,57
112,71
113,105
114,111
115,92
116,86
117,69
118,102
119,16
120,95
121,102
122,70
123,116
124,103
125,58
126,66
127,126
128,69
129,115
130,101
131,88
132,101
133,133
134,37
135,96
136,27
137,102
138,59
139,118
140,99
141,73
142,108
143,116
144,68
145,70
146,73
147,6
148,114
149,50
150,124
151,69
152,124
153,134
154,87
155,109
156,113
157,16
158,35
159,82
160,67
161,18
162,126
163,106
164,135
165,71
166,81
167,60
168,93
169,132
170,102
171,2
172,12
173,13
174,20
175,64
176,54
177,24
178,82
179,87
180,84
181,87
182,32
183,91
184,43
185,80
186,116
187,58
188,144
189,35
190,102
191,96
192,134
193,39
194,72
195,106
196,81
197,122
198,18
199,29
200,97
